,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,PassMath
252,female,,some college,standard,none,divorced,sometimes,no,3,school_bus,5 - 10,yes
253,female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,0,private,< 5,no
254,female,group B,bachelor's degree,free/reduced,none,married,regularly,yes,3,school_bus,5 - 10,no
255,male,group D,high school,free/reduced,none,married,sometimes,no,3,private,5 - 10,yes
256,male,group A,some college,standard,none,married,regularly,no,1,private,5 - 10,yes
257,female,group E,some college,standard,completed,single,never,yes,2,school_bus,< 5,yes
258,male,group C,bachelor's degree,free/reduced,completed,married,regularly,yes,0,private,< 5,yes
259,male,group D,associate's degree,free/reduced,none,married,sometimes,yes,,private,5 - 10,no
260,female,,some high school,standard,none,single,regularly,no,1,school_bus,< 5,yes
261,female,group C,high school,standard,none,divorced,regularly,yes,4,private,< 5,no
262,female,,bachelor's degree,free/reduced,none,married,sometimes,yes,3,school_bus,5 - 10,no
263,female,group C,some college,standard,completed,single,never,yes,3,school_bus,< 5,no
264,male,group D,some high school,standard,none,married,never,yes,3,private,5 - 10,no
265,female,group D,high school,free/reduced,none,divorced,regularly,yes,2,school_bus,5 - 10,yes
267,female,group B,high school,standard,completed,,sometimes,yes,2,school_bus,< 5,no
268,male,group E,high school,free/reduced,none,married,sometimes,yes,1,school_bus,< 5,no
269,female,group B,high school,standard,none,married,sometimes,no,4,school_bus,> 10,no
270,female,,some high school,free/reduced,completed,married,regularly,yes,5,private,< 5,no
271,male,group C,associate's degree,free/reduced,completed,married,never,no,1,school_bus,5 - 10,no
272,female,group C,some high school,standard,completed,married,regularly,yes,5,private,5 - 10,yes
273,female,group C,high school,standard,none,married,regularly,no,7,private,< 5,yes
274,female,group D,high school,free/reduced,completed,married,regularly,yes,0,,< 5,yes
275,male,group D,associate's degree,standard,none,divorced,regularly,yes,2,private,5 - 10,no
276,female,,some college,standard,none,single,sometimes,no,2,school_bus,5 - 10,no
277,female,group E,some high school,standard,completed,married,sometimes,yes,0,private,5 - 10,yes
279,male,group B,associate's degree,free/reduced,none,married,regularly,no,,school_bus,5 - 10,yes
280,female,group D,some high school,standard,none,divorced,sometimes,yes,3,,> 10,yes
281,female,group E,bachelor's degree,free/reduced,completed,married,regularly,,5,school_bus,> 10,yes
282,female,group C,some high school,standard,none,single,never,,0,school_bus,< 5,no
283,female,group C,high school,standard,completed,single,sometimes,yes,2,private,5 - 10,yes
284,female,group C,some college,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,no
285,female,group D,master's degree,standard,completed,married,regularly,yes,2,private,5 - 10,yes
286,female,group C,some college,free/reduced,completed,,sometimes,yes,4,private,< 5,no
287,male,group B,some college,standard,none,married,,no,2,private,< 5,no
288,female,group B,some college,free/reduced,none,married,sometimes,no,5,private,< 5,yes
290,male,group C,some college,free/reduced,completed,married,,yes,2,school_bus,< 5,yes
291,male,group D,high school,free/reduced,none,divorced,regularly,yes,2,,5 - 10,no
292,female,group E,high school,free/reduced,none,married,regularly,no,1,school_bus,5 - 10,no
293,male,group E,associate's degree,standard,completed,married,sometimes,no,3,private,5 - 10,yes
294,male,group B,high school,standard,none,divorced,never,yes,1,school_bus,< 5,no
295,male,group C,,standard,none,single,regularly,yes,2,school_bus,> 10,yes
296,female,group E,bachelor's degree,standard,completed,married,sometimes,yes,5,school_bus,5 - 10,yes
297,male,group C,high school,standard,none,married,sometimes,yes,,private,5 - 10,yes
298,male,group C,some college,standard,none,married,never,no,3,school_bus,5 - 10,yes
299,male,group C,high school,standard,,married,regularly,yes,,private,5 - 10,yes
300,female,group C,some college,free/reduced,none,married,regularly,yes,2,private,5 - 10,no
301,female,group C,master's degree,free/reduced,none,married,never,no,3,private,5 - 10,yes
302,male,group B,some high school,free/reduced,none,married,sometimes,yes,,school_bus,< 5,no
303,male,group C,high school,standard,completed,married,regularly,yes,1,school_bus,5 - 10,yes
304,male,group B,associate's degree,standard,none,single,sometimes,yes,1,school_bus,> 10,no
305,male,group C,high school,standard,completed,married,sometimes,no,3,school_bus,> 10,yes
307,male,group D,some college,standard,completed,single,regularly,yes,1,school_bus,< 5,yes
308,female,group B,,standard,none,married,regularly,yes,0,school_bus,5 - 10,yes
309,female,group D,bachelor's degree,free/reduced,none,married,regularly,no,3,private,> 10,no
310,female,group E,high school,standard,completed,divorced,regularly,no,,school_bus,> 10,yes
311,male,group E,some college,standard,none,single,sometimes,no,2,school_bus,5 - 10,yes
312,male,group E,some college,free/reduced,completed,married,never,yes,1,private,< 5,yes
313,male,group E,high school,standard,none,divorced,regularly,no,1,,> 10,yes
314,male,group B,high school,standard,completed,divorced,never,yes,3,school_bus,5 - 10,no
315,female,group C,some college,standard,none,,regularly,yes,0,private,5 - 10,yes
316,male,group C,some high school,standard,none,divorced,sometimes,yes,5,school_bus,< 5,yes
317,female,group D,some high school,free/reduced,none,single,regularly,no,3,,5 - 10,no
318,male,group B,high school,standard,completed,single,regularly,yes,3,private,5 - 10,no
319,male,group D,bachelor's degree,standard,completed,married,sometimes,no,2,school_bus,5 - 10,yes
320,female,group C,some college,standard,completed,married,sometimes,yes,5,school_bus,5 - 10,yes
321,male,group C,,standard,none,single,regularly,yes,7,private,5 - 10,yes
322,female,group C,high school,standard,none,married,never,yes,3,school_bus,< 5,no
323,female,group C,some college,standard,none,married,sometimes,yes,1,private,> 10,no
324,male,group C,associate's degree,standard,completed,married,never,yes,1,private,5 - 10,yes
325,female,group B,some college,free/reduced,completed,married,sometimes,yes,1,private,5 - 10,yes
327,female,group E,high school,standard,completed,single,sometimes,yes,2,private,< 5,yes
328,male,group C,high school,standard,none,married,regularly,yes,0,private,5 - 10,yes
329,male,group D,some college,standard,none,married,regularly,no,1,school_bus,5 - 10,yes
330,female,group D,,standard,none,married,sometimes,yes,4,school_bus,< 5,yes
331,male,group D,,standard,completed,married,regularly,yes,2,private,< 5,yes
332,female,group C,high school,free/reduced,completed,single,regularly,yes,0,school_bus,< 5,yes
333,male,group B,associate's degree,standard,none,widowed,never,yes,1,school_bus,< 5,yes
334,female,,some college,standard,none,married,sometimes,,1,school_bus,5 - 10,no
335,male,group A,some college,standard,none,married,sometimes,yes,3,school_bus,5 - 10,no
336,male,group E,high school,standard,none,married,sometimes,no,2,school_bus,< 5,yes
337,female,group D,master's degree,standard,none,single,regularly,yes,0,school_bus,5 - 10,yes
339,male,group B,associate's degree,standard,completed,single,sometimes,no,2,private,5 - 10,no
340,female,group A,some college,standard,,single,regularly,yes,4,,> 10,yes
341,male,group D,some college,free/reduced,completed,married,sometimes,yes,1,school_bus,> 10,yes
342,male,,associate's degree,free/reduced,completed,married,sometimes,,1,private,> 10,no
343,male,group D,associate's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,yes
344,female,group C,associate's degree,standard,completed,married,sometimes,yes,0,school_bus,< 5,yes
345,male,group B,some college,standard,none,single,never,,2,school_bus,> 10,yes
346,male,group E,bachelor's degree,standard,completed,married,sometimes,yes,1,school_bus,< 5,yes
347,male,group A,master's degree,standard,completed,married,regularly,yes,6,,< 5,yes
348,female,group B,some college,standard,none,single,regularly,yes,2,school_bus,< 5,yes
349,male,group D,high school,standard,none,single,sometimes,yes,5,,5 - 10,yes
351,female,group D,,standard,none,married,sometimes,yes,3,school_bus,5 - 10,yes
352,male,group D,some high school,standard,,divorced,regularly,no,1,,,yes
353,female,group C,associate's degree,standard,completed,divorced,regularly,yes,1,private,> 10,yes
354,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,private,> 10,no
355,male,group B,high school,standard,none,married,,no,1,private,5 - 10,no
358,female,group C,some college,free/reduced,none,married,sometimes,yes,1,school_bus,> 10,yes
359,male,group D,associate's degree,free/reduced,completed,married,regularly,,,,5 - 10,yes
360,male,group E,associate's degree,free/reduced,none,single,regularly,yes,0,,5 - 10,yes
361,male,group D,associate's degree,free/reduced,none,married,sometimes,yes,0,,5 - 10,yes
362,female,group C,bachelor's degree,standard,none,married,regularly,no,1,private,5 - 10,yes
363,female,group D,associate's degree,standard,completed,married,regularly,yes,2,private,> 10,yes
364,male,group D,some high school,standard,none,single,sometimes,no,3,school_bus,5 - 10,yes
365,female,group C,associate's degree,free/reduced,completed,married,sometimes,yes,,school_bus,< 5,no
366,female,group D,,standard,completed,widowed,regularly,yes,2,school_bus,5 - 10,yes
367,male,group D,some college,standard,completed,married,sometimes,yes,1,school_bus,> 10,yes
368,female,group C,high school,standard,completed,married,regularly,yes,3,school_bus,< 5,no
369,male,group C,,standard,none,married,sometimes,yes,1,private,< 5,yes
370,male,group E,some high school,standard,none,married,regularly,,0,school_bus,5 - 10,yes
372,female,group C,some high school,free/reduced,none,married,never,no,2,school_bus,5 - 10,no
373,male,,associate's degree,standard,completed,divorced,regularly,yes,3,school_bus,5 - 10,yes
374,female,group B,some high school,free/reduced,completed,divorced,regularly,yes,3,school_bus,< 5,no
375,female,group B,some high school,free/reduced,completed,married,regularly,no,4,school_bus,< 5,no
376,female,group B,high school,free/reduced,,divorced,sometimes,yes,6,,,no
377,male,group C,bachelor's degree,free/reduced,none,single,sometimes,no,1,private,< 5,no
378,female,group D,some college,standard,,single,regularly,no,2,private,5 - 10,yes
379,male,,some high school,free/reduced,none,single,sometimes,no,4,school_bus,< 5,no
380,female,group A,high school,standard,none,married,sometimes,yes,1,school_bus,> 10,yes
381,male,,associate's degree,standard,none,married,sometimes,yes,2,school_bus,> 10,yes
382,female,group D,bachelor's degree,free/reduced,none,married,sometimes,yes,2,private,< 5,no
383,male,group C,bachelor's degree,standard,none,married,sometimes,no,2,school_bus,< 5,yes
384,female,group B,some college,standard,none,married,never,yes,0,private,< 5,no
385,male,group D,some high school,standard,none,married,sometimes,no,2,private,> 10,no
386,female,group D,bachelor's degree,standard,completed,single,regularly,yes,0,private,5 - 10,yes
387,female,group E,master's degree,standard,completed,divorced,regularly,no,4,private,< 5,yes
388,female,group B,associate's degree,standard,none,single,regularly,,,private,< 5,yes
389,male,group D,some high school,free/reduced,completed,married,sometimes,yes,,,< 5,yes
390,male,group E,bachelor's degree,standard,completed,single,sometimes,no,3,school_bus,5 - 10,yes
391,male,group D,associate's degree,standard,completed,married,sometimes,yes,4,school_bus,< 5,no
392,male,group B,some college,standard,none,married,sometimes,no,5,private,5 - 10,yes
393,male,group D,some college,standard,none,single,regularly,no,5,private,5 - 10,yes
394,male,group B,some college,free/reduced,,single,never,yes,3,school_bus,5 - 10,no
395,male,group A,some college,standard,none,single,sometimes,no,2,school_bus,> 10,yes
396,female,group E,some college,free/reduced,none,single,sometimes,yes,0,school_bus,5 - 10,yes
397,male,group C,associate's degree,standard,completed,single,regularly,yes,2,private,,no
398,male,group C,master's degree,standard,none,married,regularly,yes,1,school_bus,> 10,no
399,female,group D,some college,standard,completed,married,sometimes,no,3,private,5 - 10,no
400,male,group B,high school,standard,completed,married,regularly,yes,3,school_bus,5 - 10,yes
401,male,group C,bachelor's degree,standard,none,married,regularly,yes,1,school_bus,5 - 10,yes
402,female,group E,master's degree,free/reduced,none,married,regularly,yes,3,private,5 - 10,yes
403,female,group D,some high school,standard,completed,married,regularly,yes,3,school_bus,> 10,yes
404,male,group C,some high school,standard,completed,,sometimes,yes,2,school_bus,< 5,yes
405,male,group C,some college,standard,completed,married,sometimes,no,2,private,5 - 10,yes
406,male,group A,some college,free/reduced,none,,sometimes,yes,2,school_bus,> 10,yes
408,male,group D,some high school,standard,none,married,regularly,no,6,school_bus,5 - 10,no
409,male,group B,master's degree,free/reduced,none,married,sometimes,yes,1,private,5 - 10,no
410,male,group A,associate's degree,free/reduced,completed,married,never,,5,school_bus,> 10,yes
411,male,group B,some high school,free/reduced,none,widowed,sometimes,no,2,private,< 5,no
412,male,,high school,free/reduced,none,married,regularly,yes,1,school_bus,> 10,no
413,male,group B,some high school,standard,none,married,regularly,yes,1,school_bus,> 10,yes
414,male,group C,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,5 - 10,no
415,male,group C,high school,free/reduced,none,married,regularly,,2,private,5 - 10,yes
416,male,group C,bachelor's degree,standard,none,married,sometimes,no,2,school_bus,> 10,no
417,female,group B,associate's degree,free/reduced,completed,single,never,no,2,private,5 - 10,no
418,male,group C,high school,free/reduced,none,married,sometimes,no,,school_bus,5 - 10,no
419,male,group C,associate's degree,standard,none,married,regularly,yes,0,school_bus,5 - 10,yes
420,female,group C,associate's degree,free/reduced,none,married,sometimes,yes,1,school_bus,< 5,no
421,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,0,school_bus,,yes
423,male,group D,high school,standard,none,married,regularly,yes,2,,> 10,yes
424,male,group C,high school,standard,none,,regularly,no,2,private,5 - 10,no
425,male,group C,,standard,none,,sometimes,yes,3,school_bus,5 - 10,no
426,female,group E,associate's degree,standard,completed,married,never,yes,1,,5 - 10,yes
427,male,group E,some college,standard,none,married,regularly,yes,0,school_bus,> 10,yes
428,male,group B,master's degree,free/reduced,none,,sometimes,yes,,private,< 5,no
429,female,group A,master's degree,standard,completed,divorced,regularly,no,4,private,< 5,yes
430,male,group C,some high school,free/reduced,none,married,sometimes,no,3,school_bus,5 - 10,yes
431,male,group B,some college,standard,completed,divorced,sometimes,yes,0,private,5 - 10,yes
432,female,group E,high school,free/reduced,none,divorced,regularly,yes,0,school_bus,> 10,yes
433,male,group E,associate's degree,free/reduced,completed,widowed,sometimes,yes,6,private,5 - 10,yes
434,male,group B,bachelor's degree,free/reduced,none,married,sometimes,yes,3,school_bus,< 5,yes
435,female,group B,master's degree,standard,none,single,sometimes,no,1,school_bus,5 - 10,no
437,female,group C,associate's degree,free/reduced,completed,divorced,regularly,yes,0,school_bus,< 5,no
438,male,,associate's degree,standard,completed,married,sometimes,yes,,,5 - 10,yes
439,male,,,standard,none,married,regularly,no,3,,5 - 10,yes
440,male,,associate's degree,standard,none,single,sometimes,yes,0,school_bus,< 5,yes
441,male,group D,master's degree,standard,none,married,sometimes,yes,0,private,5 - 10,yes
442,male,group C,some college,standard,none,married,sometimes,no,7,school_bus,< 5,yes
443,male,group C,some college,standard,none,widowed,sometimes,yes,6,private,5 - 10,yes
444,female,group E,associate's degree,standard,completed,divorced,sometimes,yes,,school_bus,> 10,yes
445,female,group E,high school,standard,none,divorced,sometimes,yes,3,private,5 - 10,yes
447,female,group D,some high school,free/reduced,none,single,regularly,yes,,school_bus,< 5,no
448,female,group C,some college,standard,none,single,sometimes,no,1,school_bus,< 5,no
449,female,group E,high school,standard,none,single,regularly,yes,,private,5 - 10,yes
450,male,group D,some college,standard,none,married,regularly,no,2,school_bus,> 10,yes
451,female,group B,associate's degree,standard,none,married,regularly,yes,3,school_bus,5 - 10,no
452,female,group C,master's degree,standard,none,single,sometimes,yes,5,,5 - 10,yes
453,female,,master's degree,standard,completed,married,sometimes,yes,3,private,< 5,yes
454,female,group D,high school,free/reduced,none,married,regularly,yes,2,private,5 - 10,no
455,male,group E,some college,free/reduced,completed,widowed,never,no,3,,5 - 10,no
456,male,group B,some high school,standard,none,single,sometimes,yes,,private,5 - 10,yes
457,male,group C,some high school,free/reduced,none,married,never,yes,3,school_bus,> 10,no
458,male,group D,high school,standard,none,married,sometimes,yes,1,private,< 5,no
460,male,group C,some high school,free/reduced,,married,regularly,yes,0,private,5 - 10,yes
461,female,group E,,standard,none,married,regularly,no,1,school_bus,5 - 10,yes
462,female,group C,high school,standard,none,divorced,regularly,no,2,private,5 - 10,yes
463,male,group D,,free/reduced,none,married,regularly,yes,1,school_bus,5 - 10,yes
464,female,group E,associate's degree,standard,none,married,regularly,yes,3,school_bus,,yes
465,female,group D,some college,standard,none,divorced,sometimes,no,1,school_bus,< 5,yes
466,male,group B,high school,standard,completed,single,never,yes,1,school_bus,5 - 10,yes
467,male,group C,associate's degree,standard,completed,married,sometimes,yes,1,private,> 10,no
468,female,,associate's degree,standard,completed,married,sometimes,yes,1,school_bus,5 - 10,yes
469,male,group B,associate's degree,free/reduced,completed,married,never,yes,0,school_bus,< 5,no
470,female,group A,,standard,completed,married,regularly,yes,4,private,5 - 10,no
471,male,group C,associate's degree,standard,none,married,sometimes,no,1,,< 5,yes
473,female,group E,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,5 - 10,yes
474,female,group E,high school,standard,none,widowed,regularly,yes,1,school_bus,< 5,yes
476,male,group C,high school,free/reduced,completed,married,never,yes,3,school_bus,5 - 10,no
477,male,group B,associate's degree,standard,none,married,never,no,1,school_bus,5 - 10,no
478,female,group C,some college,free/reduced,completed,divorced,sometimes,yes,4,school_bus,5 - 10,no
479,female,group C,some high school,free/reduced,none,single,sometimes,yes,3,school_bus,< 5,no
480,male,group B,some high school,standard,completed,married,sometimes,no,2,private,> 10,yes
481,male,group D,bachelor's degree,standard,completed,widowed,sometimes,yes,7,private,< 5,yes
482,male,group B,bachelor's degree,standard,none,single,sometimes,yes,3,private,< 5,yes
483,male,group E,bachelor's degree,free/reduced,none,single,regularly,yes,1,school_bus,,yes
484,female,group C,,standard,none,divorced,never,yes,4,school_bus,5 - 10,yes
485,female,group C,some college,free/reduced,none,,sometimes,yes,4,school_bus,5 - 10,yes
486,male,group C,bachelor's degree,standard,none,married,regularly,no,2,school_bus,5 - 10,yes
487,female,group B,some college,standard,none,single,sometimes,yes,1,school_bus,5 - 10,yes
488,female,group B,associate's degree,standard,none,married,regularly,,1,private,> 10,yes
489,male,group E,high school,standard,completed,married,sometimes,yes,4,,> 10,yes
490,female,group C,high school,free/reduced,none,single,regularly,yes,3,school_bus,< 5,yes
491,male,group C,some college,standard,,married,sometimes,no,4,private,5 - 10,no
492,female,group B,bachelor's degree,standard,completed,married,regularly,yes,2,private,5 - 10,yes
493,female,group C,high school,standard,completed,married,sometimes,no,3,school_bus,5 - 10,no
494,male,group C,associate's degree,free/reduced,completed,single,regularly,yes,,private,5 - 10,yes
495,male,group C,high school,free/reduced,none,single,sometimes,yes,4,private,5 - 10,no
496,male,group A,associate's degree,standard,completed,married,sometimes,no,2,private,< 5,yes
497,male,,associate's degree,standard,none,married,never,,2,school_bus,> 10,yes
498,female,group D,some college,standard,none,married,never,yes,2,,5 - 10,yes
499,male,group D,master's degree,free/reduced,none,single,sometimes,no,3,private,> 10,yes
500,male,,some college,standard,none,married,regularly,yes,1,private,> 10,yes
501,male,group E,some college,standard,completed,divorced,regularly,yes,3,school_bus,< 5,yes
502,male,group D,,free/reduced,completed,single,regularly,yes,1,school_bus,5 - 10,no
503,male,group D,high school,free/reduced,completed,divorced,regularly,no,3,school_bus,> 10,no
504,male,group E,bachelor's degree,standard,none,married,regularly,yes,4,private,5 - 10,yes
506,male,group C,,standard,none,married,sometimes,yes,1,school_bus,5 - 10,yes
507,female,group B,some high school,standard,none,single,sometimes,yes,2,school_bus,,yes
508,male,,associate's degree,free/reduced,none,married,regularly,yes,,private,< 5,no
510,male,group B,some high school,standard,none,single,regularly,yes,1,private,5 - 10,yes
511,male,group E,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,no
512,male,group D,some college,standard,completed,married,regularly,yes,0,school_bus,< 5,yes
513,female,group C,some college,free/reduced,completed,divorced,sometimes,yes,0,private,> 10,yes
514,female,group B,some high school,free/reduced,none,married,never,yes,1,private,< 5,no
515,male,group C,some high school,free/reduced,completed,single,regularly,yes,4,school_bus,5 - 10,yes
516,female,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,5 - 10,yes
517,male,group C,some college,standard,,divorced,regularly,,2,school_bus,5 - 10,yes
518,male,group C,high school,standard,,single,sometimes,yes,3,school_bus,> 10,yes
519,female,group C,high school,free/reduced,none,single,never,yes,1,school_bus,< 5,no
520,female,,bachelor's degree,free/reduced,completed,married,regularly,no,1,school_bus,< 5,no
521,female,group D,some college,standard,none,married,sometimes,yes,2,school_bus,5 - 10,yes
522,female,group E,some college,standard,,married,regularly,yes,1,,5 - 10,yes
524,female,group B,some college,standard,none,,sometimes,yes,1,private,5 - 10,yes
525,male,group B,associate's degree,standard,none,single,regularly,yes,3,school_bus,> 10,yes
526,female,group B,high school,standard,completed,married,never,yes,1,private,< 5,no
527,female,group C,some high school,standard,none,divorced,regularly,yes,1,private,5 - 10,yes
528,male,group B,associate's degree,free/reduced,none,single,sometimes,yes,1,,< 5,no
529,female,group C,master's degree,standard,none,single,sometimes,no,3,school_bus,5 - 10,yes
530,male,group B,master's degree,standard,completed,divorced,never,yes,0,school_bus,5 - 10,yes
531,female,group D,master's degree,free/reduced,none,divorced,regularly,yes,0,private,5 - 10,no
532,male,group C,master's degree,standard,none,married,sometimes,yes,1,school_bus,5 - 10,no
533,female,group B,high school,standard,none,single,sometimes,no,2,private,5 - 10,yes
534,male,group D,some college,standard,completed,married,sometimes,yes,2,school_bus,5 - 10,yes
535,male,group C,,standard,completed,divorced,sometimes,no,2,school_bus,< 5,yes
536,female,group C,some college,free/reduced,completed,married,sometimes,,3,private,< 5,no
537,female,group D,some college,free/reduced,completed,single,sometimes,yes,4,school_bus,5 - 10,yes
538,female,group E,high school,standard,completed,married,sometimes,yes,,private,5 - 10,no
539,female,group C,high school,free/reduced,none,married,sometimes,no,1,school_bus,> 10,no
541,female,group C,some college,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,no
542,male,group C,associate's degree,standard,none,divorced,sometimes,no,3,school_bus,> 10,no
543,male,group B,bachelor's degree,standard,completed,divorced,never,yes,1,school_bus,< 5,yes
544,male,group C,associate's degree,free/reduced,,married,sometimes,yes,2,private,< 5,yes
545,male,group C,high school,standard,none,single,regularly,yes,2,private,> 10,yes
546,male,group A,,standard,,married,sometimes,no,3,private,,yes
547,female,group C,some high school,standard,none,married,sometimes,no,1,school_bus,5 - 10,yes
548,female,group B,some college,standard,none,divorced,regularly,yes,3,school_bus,5 - 10,no
549,female,group E,some college,standard,completed,single,sometimes,yes,3,school_bus,5 - 10,yes
550,female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,3,school_bus,5 - 10,no
551,male,group D,some high school,standard,completed,married,regularly,,1,school_bus,5 - 10,yes
553,male,group C,some high school,standard,completed,married,regularly,yes,1,private,< 5,no
554,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,3,private,< 5,yes
555,female,group B,some college,standard,none,married,regularly,yes,1,school_bus,,yes
556,female,group D,associate's degree,standard,completed,married,,yes,2,private,5 - 10,yes
557,female,group C,bachelor's degree,standard,,single,regularly,yes,3,school_bus,> 10,no
558,female,group D,bachelor's degree,standard,none,,regularly,yes,4,school_bus,5 - 10,yes
559,male,group A,some high school,standard,none,married,regularly,,3,private,> 10,yes
560,male,group E,high school,free/reduced,,married,regularly,yes,3,school_bus,5 - 10,yes
561,female,group B,master's degree,standard,none,divorced,sometimes,yes,0,school_bus,5 - 10,yes
562,male,group C,master's degree,free/reduced,none,married,sometimes,no,1,school_bus,5 - 10,no
563,female,group B,master's degree,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,yes
564,male,group C,high school,standard,,single,never,yes,2,school_bus,5 - 10,yes
565,female,group A,some college,standard,none,married,sometimes,yes,0,school_bus,5 - 10,yes
566,male,group C,,standard,none,married,regularly,yes,3,private,5 - 10,yes
567,male,group C,high school,free/reduced,completed,single,sometimes,no,1,school_bus,5 - 10,yes
568,female,group C,some high school,standard,none,single,regularly,yes,0,school_bus,< 5,yes
569,female,group B,bachelor's degree,standard,completed,married,regularly,yes,2,school_bus,> 10,yes
570,male,group C,high school,standard,completed,married,sometimes,,3,private,5 - 10,yes
571,female,group D,bachelor's degree,standard,none,married,sometimes,yes,0,private,> 10,yes
572,female,group C,,standard,,single,regularly,no,3,,> 10,yes
573,female,,some high school,standard,none,married,regularly,yes,,private,5 - 10,yes
574,female,group B,bachelor's degree,free/reduced,none,single,regularly,yes,1,,> 10,no
575,male,group A,high school,free/reduced,none,married,sometimes,yes,,private,< 5,yes
576,male,group B,high school,standard,completed,married,sometimes,no,3,private,5 - 10,yes
577,female,group A,some college,standard,none,single,never,yes,2,school_bus,> 10,yes
578,female,group C,associate's degree,standard,none,divorced,,no,,,5 - 10,no
579,male,group C,master's degree,standard,none,single,regularly,no,2,school_bus,< 5,yes
580,male,group D,associate's degree,free/reduced,none,divorced,sometimes,yes,4,school_bus,5 - 10,no
581,female,group D,associate's degree,free/reduced,completed,single,never,no,3,private,5 - 10,yes
582,female,group D,high school,free/reduced,none,,never,yes,2,school_bus,< 5,no
583,female,group E,some high school,standard,none,single,never,yes,0,school_bus,5 - 10,yes
584,male,group C,associate's degree,free/reduced,completed,married,regularly,yes,1,school_bus,5 - 10,no
585,male,group C,high school,free/reduced,none,married,never,yes,2,school_bus,< 5,yes
586,male,group C,associate's degree,standard,completed,married,regularly,yes,1,,< 5,no
587,female,group B,associate's degree,standard,none,married,sometimes,yes,1,,5 - 10,yes
588,male,group B,associate's degree,standard,none,single,sometimes,yes,2,school_bus,> 10,yes
589,male,group C,high school,standard,,married,never,yes,5,school_bus,5 - 10,yes
590,male,group E,some high school,standard,,single,regularly,yes,3,school_bus,< 5,yes
591,male,group C,associate's degree,free/reduced,,married,sometimes,no,3,private,5 - 10,no
592,female,group A,some college,standard,completed,divorced,regularly,yes,3,school_bus,5 - 10,no
593,female,group A,some high school,standard,none,single,regularly,no,3,,5 - 10,yes
594,male,group C,some college,standard,completed,married,sometimes,yes,,school_bus,< 5,no
595,male,group B,high school,standard,none,married,sometimes,yes,3,school_bus,5 - 10,no
596,male,group E,high school,free/reduced,none,single,sometimes,yes,5,,5 - 10,yes
597,male,group D,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,yes
598,female,group D,,free/reduced,none,married,sometimes,yes,3,school_bus,5 - 10,no
600,male,group B,associate's degree,standard,completed,married,sometimes,yes,7,school_bus,> 10,yes
601,male,group B,some high school,free/reduced,none,married,regularly,yes,3,school_bus,> 10,no
602,male,group D,master's degree,standard,none,married,regularly,yes,3,school_bus,5 - 10,yes
603,female,group C,associate's degree,standard,completed,divorced,sometimes,yes,5,private,< 5,no
604,female,group B,some college,free/reduced,completed,single,never,no,3,school_bus,5 - 10,yes
605,male,group C,some college,free/reduced,none,married,,no,2,school_bus,< 5,no
606,male,group D,some college,free/reduced,none,single,regularly,no,3,school_bus,5 - 10,no
607,female,group E,some college,standard,none,married,regularly,yes,0,,5 - 10,yes
608,female,group C,bachelor's degree,standard,,married,sometimes,yes,0,school_bus,> 10,yes
609,female,group D,some high school,standard,none,married,regularly,yes,3,private,< 5,no
610,female,group B,some college,free/reduced,none,single,regularly,no,3,,> 10,yes
611,male,group E,associate's degree,free/reduced,none,divorced,regularly,yes,1,private,< 5,no
612,male,group C,high school,standard,completed,married,never,yes,1,private,5 - 10,yes
613,female,group D,some high school,free/reduced,none,married,regularly,yes,0,private,< 5,yes
614,female,group B,associate's degree,standard,completed,married,regularly,,1,school_bus,< 5,yes
615,male,group C,some college,free/reduced,none,married,regularly,no,2,private,< 5,no
616,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,yes
617,male,,bachelor's degree,free/reduced,none,divorced,regularly,no,1,school_bus,5 - 10,no
618,female,group D,some high school,standard,none,married,sometimes,yes,4,school_bus,< 5,no
619,female,group D,high school,standard,none,divorced,sometimes,yes,1,private,> 10,yes
620,male,group C,associate's degree,standard,none,married,sometimes,yes,1,private,5 - 10,yes
621,female,group C,some college,standard,none,single,sometimes,yes,3,private,< 5,no
622,female,group A,associate's degree,standard,none,married,regularly,no,1,school_bus,> 10,yes
623,female,group B,high school,standard,none,single,regularly,yes,3,private,5 - 10,yes
624,male,group B,,standard,none,married,sometimes,yes,2,private,5 - 10,no
625,male,group B,bachelor's degree,free/reduced,completed,married,sometimes,no,3,school_bus,5 - 10,yes
